"","shifted_lockdown"
"603",2011.52279159104
"604",2062.60570206578
"605",2114.96727729978
"606",2168.63575610594
"607",2223.64796572147
"608",2280.02865430687
"609",2337.81801744969
"610",2397.05042340776
"611",2457.7532890301
"612",2519.97370435784
"613",2583.73795448876
"614",2649.0833168642
"615",2716.04719820084
"616",2784.6790264748
"617",2855.0069444376
"618",2927.0727531854
"619",3000.92295608328
"620",3076.60027200016
"621",3154.14131434683
"622",3233.59363471194
"623",3314.99745596187
"624",3398.4061405839
"625",3483.86186570039
"626",3571.41263323056
"627",3661.10458360639
"628",3752.98951540075
"629",3847.1206103135
"630",3943.54702164226
"631",4042.33044914945
"632",4143.50840729228
"633",4247.14462976686
"634",4353.28692791995
"635",4462.00252247249
"636",4573.34103773473
"637",4687.36936312875
"638",4804.13794173629
"639",4923.71373710459
"640",5046.16150279118
"641",5171.54236403034
"642",5299.91337672376
"643",5431.34383059904
"644",5565.90770202531
"645",5703.66893588715
"646",5844.69066260504
"647",5989.0553532038
"648",6136.81942272063
"649",6288.06591188135
"650",6442.8631446608
"651",6601.28266468258
"652",6763.40582724021
"653",6929.31472962148
"654",7099.06470079566
"655",7272.75287841522
"656",7450.46065359823
"657",7632.26756972469
"658",7818.24899196865
"659",8008.4908530573
"660",8203.07103808702
"661",8402.07765439113
"662",8605.59897277021
"663",8813.71714462037
"664",9026.53502886918
"665",9244.12005850078
"666",9466.57553977379
"667",9693.97413705081
"668",9926.42170576237
"669",10163.9994220059
"670",10406.8012084868
"671",10654.9265786016
"672",10908.4612703455
"673",11167.4882349674
"674",11432.1071947955
"675",11702.4150978151
"676",11978.5007925767
"677",12260.4616344565
"678",12548.3824071451
"679",12842.3546111583
"680",13142.4770777919
"681",13448.8495851193
"682",13761.5449204881
"683",14080.6589499703
"684",14406.2943724448
"685",14738.5151433817
"686",15077.4188229847
"687",15423.0965007595
"688",15775.6343995099
"689",16135.0959488981
"690",16501.5678182942
"691",16875.1559124747
"692",17255.9069969152
"693",17643.9208979446
"694",18039.2341983526
"695",18441.9401487632
"696",18852.116940276
"697",19269.7927645148
"698",19695.040286406
"699",20127.9026332266
"700",20568.4598479446
"701",21016.7395772545
"702",21472.778875594
"703",21936.6185908777
"704",22408.2746826152
"705",22887.7854693421
"706",23375.1852017543
"707",23870.4645787121
"708",24373.6315800682
"709",24884.6949010356
"710",25403.6422531358
"711",25930.4467317989
"712",26465.0946282691
"713",27007.5586068831
"714",27557.7871577813
"715",28115.7495701108
"716",28681.350115087
"717",29254.5463599433
"718",29835.2325856351
"719",30423.3302111791
"720",31018.7707816384
"721",31621.3900186935
"722",32231.0832335835
"723",32847.6829547043
"724",33471.0678533344
"725",34101.053185194
"726",34737.4925773801
"727",35380.1625300769
"728",36028.8631091579
"729",36683.3645134984
"730",37343.4284461213
"731",38008.8251200731
"732",38679.2631988969
"733",39354.4442361668
"734",40034.0805097739
"735",40717.8723074271
"736",41405.4409997206
"737",42096.4521644208
"738",42790.5437557348
"739",43487.3036431614
"740",44186.3428218996
"741",44887.2122109888
"742",45589.5062954218
"743",46292.7324901729
"744",46996.4340258627
"745",47700.0793940023
"746",48403.1857114147
"747",49105.1986283379
